Phone Number,Messages,Phone Calls
330-555-2516,0,1
330-555-2517,18,4
330-555-2518,13,8
330-555-2519,1,9
330-555-2520,10,6
330-555-2521,9,5
330-555-2522,15,3
330-555-2523,14,5
330-555-2524,14,6
330-555-2525,13,2
330-555-2526,6,7
330-555-2527,20,7
330-555-2528,10,1
330-555-2529,16,10
330-555-2530,19,4
330-555-2531,16,3
330-555-2532,16,4
330-555-2533,3,3
330-555-2534,10,5
330-555-2535,1,0
330-555-2536,5,6
330-555-2537,13,7
330-555-2538,12,3
330-555-2539,5,3
330-555-2540,4,10
330-555-2541,7,0
330-555-2542,8,2
330-555-2543,8,8
330-555-2544,20,6
330-555-2545,13,8
330-555-2546,10,7
330-555-2547,1,2
330-555-2548,11,0
330-555-2549,0,1
330-555-2550,3,0
330-555-2551,12,1
330-555-2552,6,10
330-555-2553,19,6
330-555-2554,11,2
330-555-2555,4,9
330-555-2556,12,9
330-555-2557,20,4
330-555-2558,1,9
330-555-2559,2,1
330-555-2560,17,7
330-555-2561,10,6
330-555-2562,2,3
330-555-2563,0,1
330-555-2564,2,8
330-555-2565,17,5
330-555-2566,14,7
330-555-2567,6,5
330-555-2568,12,8
330-555-2569,17,0
330-555-2570,1,3
330-555-2571,6,4
330-555-2572,18,7
330-555-2573,14,0
330-555-2574,10,8
330-555-2575,12,10
330-555-2576,15,9
330-555-2577,20,2
330-555-2578,20,4
330-555-2579,15,4
330-555-2580,1,2
330-555-2581,8,4
330-555-2582,3,4
330-555-2583,18,5
330-555-2584,12,8
330-555-2585,12,7
330-555-2586,6,10
330-555-2587,17,6
330-555-2588,11,7
330-555-2589,3,9
330-555-2590,0,0
330-555-2591,8,7
330-555-2592,5,10
330-555-2593,2,3
330-555-2594,12,6
330-555-2595,19,9
330-555-2596,6,1
330-555-2597,6,3
330-555-2598,0,8
330-555-2599,19,4
330-555-2600,5,0
330-555-2601,17,5
330-555-2602,5,9
330-555-2603,8,5
330-555-2604,18,2
330-555-2605,8,0
330-555-2606,18,5
330-555-2607,3,9
330-555-2608,11,9
330-555-2609,16,10
330-555-2610,0,2
330-555-2611,17,8
330-555-2612,18,1
330-555-2613,15,4
330-555-2614,7,7
330-555-2615,0,9
330-555-2616,17,0
330-555-2617,20,0
330-555-2618,17,6
330-555-2619,9,0
330-555-2620,7,2
330-555-2621,19,4
330-555-2622,11,1
330-555-2623,0,8
330-555-2624,14,9
330-555-2625,18,3
330-555-2626,16,3
330-555-2627,12,8
330-555-2628,3,7
330-555-2629,13,5
330-555-2630,0,10
330-555-2631,3,8
330-555-2632,18,10
330-555-2633,7,7
330-555-2634,18,9
330-555-2635,10,10
330-555-2636,11,9
330-555-2637,13,4
330-555-2638,20,2
330-555-2639,14,8
330-555-2640,7,2
330-555-2641,11,7
330-555-2642,13,0
330-555-2643,19,2
330-555-2644,20,5
330-555-2645,4,5
330-555-2646,10,5
330-555-2647,3,5
330-555-2648,2,9
330-555-2649,1,5
330-555-2650,11,3
330-555-2651,6,6
330-555-2652,9,3
330-555-2653,8,8
330-555-2654,7,4
330-555-2655,4,4
330-555-2656,5,5
330-555-2657,20,2
330-555-2658,19,9
330-555-2659,16,0
330-555-2660,13,10
330-555-2661,13,9
330-555-2662,14,3
330-555-2663,13,0
330-555-2664,10,1
330-555-2665,9,0
330-555-2666,13,2
330-555-2667,15,1
330-555-2668,16,0
330-555-2669,3,8
330-555-2670,20,7
330-555-2671,7,3
330-555-2672,1,3
330-555-2673,3,7
330-555-2674,19,1
330-555-2675,10,4
330-555-2676,14,3
330-555-2677,4,10
330-555-2678,14,0
330-555-2679,18,1
330-555-2680,11,2
330-555-2681,13,6
330-555-2682,10,8
330-555-2683,0,3
330-555-2684,7,9
330-555-2685,17,8
330-555-2686,3,5
330-555-2687,5,5
330-555-2688,20,4
330-555-2689,17,7
330-555-2690,6,4
330-555-2691,12,9
330-555-2692,2,10
330-555-2693,3,1
330-555-2694,19,9
330-555-2695,19,4
330-555-2696,15,5
330-555-2697,5,2
330-555-2698,0,5
330-555-2699,19,8
330-555-2700,13,0
330-555-2701,10,5
330-555-2702,15,0
330-555-2703,4,5
330-555-2704,18,0
330-555-2705,5,0
330-555-2706,1,9
330-555-2707,20,0
330-555-2708,15,9
330-555-2709,13,1
330-555-2710,17,6
330-555-2711,10,9
330-555-2712,15,2
330-555-2713,16,2
330-555-2714,5,7
330-555-2715,18,10
330-555-2716,9,10
330-555-2717,20,10
330-555-2718,17,10
330-555-2719,19,7
330-555-2720,2,4
330-555-2721,0,1
330-555-2722,13,1
330-555-2723,13,2
330-555-2724,6,6
330-555-2725,19,5
330-555-2726,2,3
330-555-2727,19,3
330-555-2728,9,6
330-555-2729,13,6
330-555-2730,18,1
330-555-2731,2,1
330-555-2732,1,0
330-555-2733,8,7
330-555-2734,8,8
330-555-2735,11,4
330-555-2736,3,9
330-555-2737,15,1
330-555-2738,6,4
330-555-2739,7,3
330-555-2740,5,0
330-555-2741,15,0
330-555-2742,11,8
330-555-2743,12,3
330-555-2744,9,8
330-555-2745,1,3
330-555-2746,1,4
330-555-2747,16,0
330-555-2748,13,0
330-555-2749,5,1
330-555-2750,0,9
330-555-2751,5,5
330-555-2752,19,6
330-555-2753,20,0
330-555-2754,5,7
330-555-2755,4,8
330-555-2756,17,8
330-555-2757,9,0
330-555-2758,0,6
330-555-2759,14,1
330-555-2760,1,2
330-555-2761,1,8
330-555-2762,11,3
330-555-2763,7,7
330-555-2764,11,6
330-555-2765,20,9
330-555-2766,18,6
330-555-2767,18,2
330-555-2768,3,8
330-555-2769,13,2
330-555-2770,19,10
330-555-2771,4,2
330-555-2772,20,0
330-555-2773,6,9
330-555-2774,0,7
330-555-2775,6,4
330-555-2776,0,10
330-555-2777,2,10
330-555-2778,10,10
330-555-2779,14,4
330-555-2780,12,5
330-555-2781,2,9
330-555-2782,19,2
330-555-2783,18,6
330-555-2784,20,2
330-555-2785,5,6
330-555-2786,1,10
330-555-2787,16,2
330-555-2788,19,1
330-555-2789,4,0
330-555-2790,13,6
330-555-2791,19,8
330-555-2792,15,6
330-555-2793,8,10
330-555-2794,1,2
330-555-2795,17,7
330-555-2796,0,1
330-555-2797,19,9
330-555-2798,9,9
330-555-2799,14,2
330-555-2800,11,1
330-555-2801,10,4
330-555-2802,18,0
330-555-2803,20,0
330-555-2804,6,5
330-555-2805,19,7
330-555-2806,8,3
330-555-2807,4,6
330-555-2808,6,0
330-555-2809,12,8
330-555-2810,17,7
330-555-2811,1,9
330-555-2812,0,5
330-555-2813,6,2
330-555-2814,12,9
330-555-2815,19,2
330-555-2816,14,3
330-555-2817,18,2
330-555-2818,16,9
330-555-2819,17,8
330-555-2820,18,5
330-555-2821,15,1
330-555-2822,0,7
330-555-2823,8,6
330-555-2824,11,5
330-555-2825,1,2
330-555-2826,7,3
330-555-2827,16,2
330-555-2828,9,3
330-555-2829,1,9
330-555-2830,13,7
330-555-2831,10,10
330-555-2832,9,9
330-555-2833,17,4
330-555-2834,4,6
330-555-2835,0,10
330-555-2836,19,3
330-555-2837,8,10
330-555-2838,5,7
330-555-2839,11,0
330-555-2840,5,4
330-555-2841,8,6
330-555-2842,12,7
330-555-2843,11,10
330-555-2844,1,6
330-555-2845,6,1
330-555-2846,15,9
330-555-2847,15,4
330-555-2848,3,9
330-555-2849,11,3
330-555-2850,0,1
330-555-2851,14,9
330-555-2852,7,0
330-555-2853,19,9
330-555-2854,13,0
330-555-2855,0,5
330-555-2856,18,0
330-555-2857,20,0
330-555-2858,1,4
330-555-2859,6,2
330-555-2860,2,8
330-555-2861,8,6
330-555-2862,12,0
330-555-2863,12,2
330-555-2864,16,9
330-555-2865,11,10
330-555-2866,1,10
330-555-2867,7,0
330-555-2868,8,8
330-555-2869,1,7
330-555-2870,7,7
330-555-2871,6,5
330-555-2872,19,5
330-555-2873,19,4
330-555-2874,7,5
330-555-2875,9,2
330-555-2876,13,6
330-555-2877,2,2
330-555-2878,16,4
330-555-2879,10,7
330-555-2880,10,10
330-555-2881,19,5
330-555-2882,12,8
330-555-2883,19,4
330-555-2884,9,10
330-555-2885,16,5
330-555-2886,3,0
330-555-2887,11,4
330-555-2888,3,8
330-555-2889,16,5
330-555-2890,1,6
330-555-2891,12,10
330-555-2892,10,7
330-555-2893,16,2
330-555-2894,10,2
330-555-2895,2,8
330-555-2896,3,10
330-555-2897,17,9
330-555-2898,7,10
330-555-2899,3,8
330-555-2900,16,7
330-555-2901,6,1
330-555-2902,2,1
330-555-2903,5,2
330-555-2904,7,1
330-555-2905,17,10
330-555-2906,19,8
330-555-2907,12,10
330-555-2908,16,9
330-555-2909,5,5
330-555-2910,2,7
330-555-2911,12,9
330-555-2912,8,3
330-555-2913,8,1
330-555-2914,4,0
330-555-2915,15,9
330-555-2916,19,9
330-555-2917,5,8
330-555-2918,10,5
330-555-2919,15,2
330-555-2920,20,0
330-555-2921,10,5
330-555-2922,3,1
330-555-2923,0,1
330-555-2924,2,1
330-555-2925,13,0
330-555-2926,20,3
330-555-2927,1,8
330-555-2928,14,10
330-555-2929,5,0
330-555-2930,13,4
330-555-2931,20,2
330-555-2932,16,9
330-555-2933,5,8
330-555-2934,8,0
330-555-2935,12,0
330-555-2936,0,7
330-555-2937,0,3
330-555-2938,18,8
330-555-2939,0,8
330-555-2940,2,10
330-555-2941,12,5
330-555-2942,20,8
330-555-2943,5,0
330-555-2944,20,6
330-555-2945,14,0
330-555-2946,12,0
330-555-2947,3,9
330-555-2948,8,10
330-555-2949,6,8
330-555-2950,6,6
330-555-2951,10,2
330-555-2952,9,8
330-555-2953,7,2
330-555-2954,9,2
330-555-2955,13,2
330-555-2956,8,8
330-555-2957,4,10
330-555-2958,0,0
330-555-2959,6,5
330-555-2960,10,10
330-555-2961,6,4
330-555-2962,16,8
330-555-2963,2,3
330-555-2964,19,10
330-555-2965,2,0
330-555-2966,16,0
330-555-2967,2,3
330-555-2968,3,1
330-555-2969,12,7
330-555-2970,6,3
330-555-2971,18,6
330-555-2972,15,9
330-555-2973,6,2
330-555-2974,15,2
330-555-2975,11,6
330-555-2976,11,7
330-555-2977,12,2
330-555-2978,9,1
330-555-2979,2,5
330-555-2980,1,4
330-555-2981,19,4
330-555-2982,18,6
330-555-2983,20,2
330-555-2984,8,10
330-555-2985,20,4
330-555-2986,14,9
330-555-2987,14,9
330-555-2988,15,9
330-555-2989,4,10
330-555-2990,2,0
330-555-2991,13,9
330-555-2992,4,10
330-555-2993,3,0
330-555-2994,9,6
330-555-2995,3,5
330-555-2996,15,7
330-555-2997,8,2
330-555-2998,0,6
330-555-2999,10,10
330-555-3000,2,0
330-555-3001,2,4
330-555-3002,4,6
330-555-3003,11,6
330-555-3004,9,9
330-555-3005,0,0
330-555-3006,15,7
330-555-3007,10,2
330-555-3008,0,2
330-555-3009,1,1
330-555-3010,6,0
330-555-3011,6,5
330-555-3012,8,7
330-555-3013,19,2
330-555-3014,15,9
330-555-3015,15,6
330-555-3016,14,6
330-555-3017,7,9
330-555-3018,10,3
330-555-3019,4,6
330-555-3020,17,4
330-555-3021,14,7
330-555-3022,17,10
330-555-3023,10,3
330-555-3024,8,10
330-555-3025,10,1
330-555-3026,9,9
330-555-3027,19,1
330-555-3028,14,3
330-555-3029,15,0
330-555-3030,20,3
330-555-3031,1,9
330-555-3032,0,6
330-555-3033,19,2
330-555-3034,0,7
330-555-3035,13,1
330-555-3036,6,1
330-555-3037,0,6
330-555-3038,5,3
330-555-3039,11,5
330-555-3040,3,8
330-555-3041,6,1
330-555-3042,14,2
330-555-3043,19,10
330-555-3044,2,2
330-555-3045,9,3
330-555-3046,1,1
330-555-3047,20,7
330-555-3048,17,10
330-555-3049,11,7
330-555-3050,2,6
330-555-3051,18,2
330-555-3052,13,6
330-555-3053,11,7
330-555-3054,9,2
330-555-3055,7,4
330-555-3056,5,6
330-555-3057,12,10
330-555-3058,1,9
330-555-3059,11,6
330-555-3060,1,0
330-555-3061,11,6
330-555-3062,4,1
330-555-3063,1,1
330-555-3064,9,4
330-555-3065,4,4
330-555-3066,11,8
330-555-3067,2,6
330-555-3068,2,7
330-555-3069,17,0
330-555-3070,0,5
330-555-3071,12,9
330-555-3072,13,0
330-555-3073,0,7
330-555-3074,3,3
330-555-3075,7,6
330-555-3076,18,3
330-555-3077,15,8
330-555-3078,10,6
330-555-3079,17,3
330-555-3080,10,1
330-555-3081,14,4
330-555-3082,15,0
330-555-3083,9,9
330-555-3084,13,6
330-555-3085,18,10
330-555-3086,7,5
330-555-3087,18,2
330-555-3088,20,4
330-555-3089,17,3
330-555-3090,4,0
330-555-3091,3,2
330-555-3092,16,4
330-555-3093,11,9
330-555-3094,13,1
330-555-3095,9,6
330-555-3096,7,7
330-555-3097,8,7
330-555-3098,20,1
330-555-3099,13,5
330-555-3100,4,6
330-555-3101,18,5
330-555-3102,1,10
330-555-3103,19,2
330-555-3104,10,9
330-555-3105,7,3
330-555-3106,20,4
330-555-3107,13,1
330-555-3108,10,9
330-555-3109,1,10
330-555-3110,11,2
330-555-3111,12,2
330-555-3112,10,5
330-555-3113,11,1
330-555-3114,20,1
330-555-3115,16,9
330-555-3116,12,9
330-555-3117,8,3
330-555-3118,10,3
330-555-3119,6,2
330-555-3120,12,4
330-555-3121,15,9
330-555-3122,7,1
330-555-3123,14,2
330-555-3124,13,0
330-555-3125,18,4
330-555-3126,16,4
330-555-3127,3,0
330-555-3128,18,7
330-555-3129,20,4
330-555-3130,4,8
330-555-3131,6,6
330-555-3132,7,1
330-555-3133,20,5
330-555-3134,7,3
330-555-3135,17,10
330-555-3136,6,10
330-555-3137,0,8
330-555-3138,14,9
330-555-3139,17,4
330-555-3140,9,8
330-555-3141,14,2
330-555-3142,19,2
330-555-3143,20,9
330-555-3144,20,1
330-555-3145,16,6
330-555-3146,4,5
330-555-3147,15,7
330-555-3148,7,4
330-555-3149,0,6
330-555-3150,1,5
330-555-3151,13,4
330-555-3152,8,5
330-555-3153,11,10
330-555-3154,8,8
330-555-3155,11,6
330-555-3156,18,8
330-555-3157,8,1
330-555-3158,10,7
330-555-3159,16,9
330-555-3160,5,6
330-555-3161,2,2
330-555-3162,13,6
330-555-3163,20,6
330-555-3164,20,5
330-555-3165,3,4
330-555-3166,17,5
330-555-3167,14,4
330-555-3168,8,2
330-555-3169,14,2
330-555-3170,4,0
330-555-3171,11,10
330-555-3172,2,8
330-555-3173,19,8
330-555-3174,9,6
330-555-3175,15,8
330-555-3176,20,6
330-555-3177,4,7
330-555-3178,8,2
330-555-3179,3,10
330-555-3180,7,7
330-555-3181,18,0
330-555-3182,4,1
330-555-3183,10,0
330-555-3184,5,0
330-555-3185,3,5
330-555-3186,8,3
330-555-3187,10,6
330-555-3188,11,8
330-555-3189,19,8
330-555-3190,17,8
330-555-3191,4,5
330-555-3192,18,0
330-555-3193,20,4
330-555-3194,9,10
330-555-3195,7,2
330-555-3196,19,7
330-555-3197,5,6
330-555-3198,20,3
330-555-3199,9,0
330-555-3200,15,3
330-555-3201,14,7
330-555-3202,14,0
330-555-3203,16,0
330-555-3204,10,8
330-555-3205,3,10
330-555-3206,9,5
330-555-3207,13,6
330-555-3208,4,5
330-555-3209,12,7
330-555-3210,14,3
330-555-3211,19,5
330-555-3212,9,1
330-555-3213,12,0
330-555-3214,12,8
330-555-3215,12,10
330-555-3216,10,6
330-555-3217,12,7
330-555-3218,19,4
330-555-3219,18,1
330-555-3220,12,3
330-555-3221,13,9
330-555-3222,17,4
330-555-3223,14,5
330-555-3224,9,6
330-555-3225,20,8
330-555-3226,13,8
330-555-3227,16,4
330-555-3228,2,10
330-555-3229,9,9
330-555-3230,2,10
330-555-3231,3,9
330-555-3232,10,5
330-555-3233,9,9
330-555-3234,10,1
330-555-3235,20,7
330-555-3236,4,8
330-555-3237,14,6
330-555-3238,18,3
330-555-3239,14,3
330-555-3240,18,4
330-555-3241,9,0
330-555-3242,3,5
330-555-3243,1,1
330-555-3244,17,2
330-555-3245,19,4
330-555-3246,12,7
330-555-3247,0,1
330-555-3248,5,6
330-555-3249,2,6
330-555-3250,3,7
330-555-3251,20,0
330-555-3252,11,1
330-555-3253,11,4
330-555-3254,2,2
330-555-3255,16,4
330-555-3256,13,0
330-555-3257,4,5
330-555-3258,6,3
330-555-3259,19,10
330-555-3260,1,4
330-555-3261,11,9
330-555-3262,1,2
330-555-3263,11,10
330-555-3264,5,9
330-555-3265,14,10
330-555-3266,12,1
330-555-3267,9,2
330-555-3268,13,9
330-555-3269,17,4
330-555-3270,10,9
330-555-3271,15,0
330-555-3272,2,8
330-555-3273,6,10
330-555-3274,16,8
330-555-3275,14,2
330-555-3276,9,3
330-555-3277,18,1
330-555-3278,12,5
330-555-3279,20,0
330-555-3280,1,10
330-555-3281,15,6
330-555-3282,7,7
330-555-3283,10,1
330-555-3284,19,5
330-555-3285,2,6
330-555-3286,2,2
330-555-3287,5,0
330-555-3288,7,1
330-555-3289,8,1
330-555-3290,6,0
330-555-3291,1,8
330-555-3292,7,6
330-555-3293,4,0
330-555-3294,1,9
330-555-3295,4,1
330-555-3296,18,8
330-555-3297,2,7
330-555-3298,4,3
330-555-3299,19,3
330-555-3300,19,5
330-555-3301,1,5
330-555-3302,0,9
330-555-3303,10,10
330-555-3304,4,5
330-555-3305,11,0
330-555-3306,16,1
330-555-3307,7,7
330-555-3308,14,5
330-555-3309,16,2
330-555-3310,12,2
330-555-3311,11,0
330-555-3312,16,6
330-555-3313,5,7
330-555-3314,1,6
330-555-3315,12,9
330-555-3316,19,9
330-555-3317,8,3
330-555-3318,3,1
330-555-3319,7,9
330-555-3320,19,0
330-555-3321,8,10
330-555-3322,20,8
330-555-3323,19,9
330-555-3324,10,2
330-555-3325,17,1
330-555-3326,2,2
330-555-3327,11,3
330-555-3328,15,4
330-555-3329,8,0
330-555-3330,0,8
330-555-3331,4,8
330-555-3332,2,4
330-555-3333,6,3
330-555-3334,2,4
330-555-3335,10,10
330-555-3336,2,2
330-555-3337,19,9
330-555-3338,14,1
330-555-3339,0,0
330-555-3340,13,2
330-555-3341,10,9
330-555-3342,14,1
330-555-3343,12,10
330-555-3344,16,4
330-555-3345,3,9
330-555-3346,13,0
330-555-3347,3,2
330-555-3348,11,8
330-555-3349,4,9
330-555-3350,3,9
330-555-3351,20,5
330-555-3352,12,6
330-555-3353,14,4
330-555-3354,3,6
330-555-3355,8,1
330-555-3356,6,10
330-555-3357,2,4
330-555-3358,16,4
330-555-3359,7,5
330-555-3360,8,0
330-555-3361,19,5
330-555-3362,15,1
330-555-3363,8,10
330-555-3364,16,6
330-555-3365,4,5
330-555-3366,4,10
330-555-3367,18,1
330-555-3368,1,7
330-555-3369,17,4
330-555-3370,10,3
330-555-3371,2,6
330-555-3372,17,8
330-555-3373,15,5
330-555-3374,1,2
330-555-3375,10,0
330-555-3376,3,6
330-555-3377,14,4
330-555-3378,13,6
330-555-3379,17,1
330-555-3380,8,5
330-555-3381,16,9
330-555-3382,14,1
330-555-3383,9,8
330-555-3384,12,0
330-555-3385,3,7
330-555-3386,16,9
330-555-3387,0,0
330-555-3388,12,3
330-555-3389,6,1
330-555-3390,8,0
330-555-3391,17,7
330-555-3392,8,3
330-555-3393,9,7
330-555-3394,20,7
330-555-3395,11,2
330-555-3396,7,7
330-555-3397,12,8
330-555-3398,9,5
330-555-3399,20,5
330-555-3400,15,5
330-555-3401,7,0
330-555-3402,12,10
330-555-3403,9,8
330-555-3404,9,4
330-555-3405,18,8
330-555-3406,3,2
330-555-3407,11,9
330-555-3408,11,8
330-555-3409,9,2
330-555-3410,14,5
330-555-3411,3,7
330-555-3412,18,3
330-555-3413,16,1
330-555-3414,16,9
330-555-3415,2,3
330-555-3416,18,2
330-555-3417,15,3
330-555-3418,9,1
330-555-3419,4,5
330-555-3420,15,9
330-555-3421,9,9
330-555-3422,17,6
330-555-3423,9,1
330-555-3424,6,10
330-555-3425,4,5
330-555-3426,3,5
330-555-3427,4,10
330-555-3428,13,2
330-555-3429,16,0
330-555-3430,1,10
330-555-3431,16,8
330-555-3432,19,8
330-555-3433,1,7
330-555-3434,16,6
330-555-3435,15,5
330-555-3436,13,10
330-555-3437,0,10
330-555-3438,16,4
330-555-3439,16,2
330-555-3440,15,4
330-555-3441,16,0
330-555-3442,20,4
330-555-3443,4,3
330-555-3444,14,9
330-555-3445,6,10
330-555-3446,13,0
330-555-3447,0,7
330-555-3448,9,2
330-555-3449,4,9
330-555-3450,3,6
330-555-3451,12,6
330-555-3452,12,7
330-555-3453,14,9
330-555-3454,2,5
330-555-3455,14,2
330-555-3456,16,7
330-555-3457,1,9
330-555-3458,2,10
330-555-3459,10,7
330-555-3460,3,2
330-555-3461,2,7
330-555-3462,4,3
330-555-3463,13,2
330-555-3464,12,6
330-555-3465,6,6
330-555-3466,18,10
330-555-3467,11,5
330-555-3468,8,9
330-555-3469,15,1
330-555-3470,15,0
330-555-3471,20,7
330-555-3472,10,4
330-555-3473,17,1
330-555-3474,5,6
330-555-3475,4,10
330-555-3476,15,5
330-555-3477,8,0
330-555-3478,17,8
330-555-3479,2,7
330-555-3480,4,1
330-555-3481,13,6
330-555-3482,13,4
330-555-3483,14,9
330-555-3484,13,2
330-555-3485,16,10
330-555-3486,6,8
330-555-3487,19,2
330-555-3488,20,6
330-555-3489,11,10
330-555-3490,18,3
330-555-3491,0,10
330-555-3492,19,10
330-555-3493,5,10
330-555-3494,5,5
330-555-3495,7,6
330-555-3496,5,8
330-555-3497,20,6
330-555-3498,6,3
330-555-3499,15,6
330-555-3500,9,1
330-555-3501,1,4
330-555-3502,12,3
330-555-3503,8,7
330-555-3504,1,8
330-555-3505,2,1
330-555-3506,17,9
330-555-3507,6,8
330-555-3508,2,4
330-555-3509,18,9
330-555-3510,17,0
330-555-3511,19,3
330-555-3512,15,8
330-555-3513,16,3
330-555-3514,10,6
330-555-3515,8,1
330-555-3516,0,8
330-555-3517,0,1
330-555-3518,5,3
330-555-3519,14,10
330-555-3520,1,2
330-555-3521,11,7
330-555-3522,20,6
330-555-3523,19,0
330-555-3524,14,1
330-555-3525,19,5
330-555-3526,15,2
330-555-3527,12,10
330-555-3528,5,1
330-555-3529,10,9
330-555-3530,2,10
330-555-3531,5,2
330-555-3532,16,7
330-555-3533,5,3
330-555-3534,18,8
330-555-3535,19,0
330-555-3536,14,9
330-555-3537,11,7
330-555-3538,9,5
330-555-3539,5,2
330-555-3540,7,10
330-555-3541,4,2
330-555-3542,4,2
330-555-3543,20,4
330-555-3544,18,3
330-555-3545,9,0
330-555-3546,12,9
330-555-3547,18,0
330-555-3548,0,4
330-555-3549,18,1
330-555-3550,5,1
330-555-3551,14,8
330-555-3552,12,1
330-555-3553,5,1
330-555-3554,15,0
330-555-3555,13,0
330-555-3556,7,10
330-555-3557,3,8
330-555-3558,16,7
330-555-3559,3,2
330-555-3560,1,6
330-555-3561,17,10
330-555-3562,14,1
330-555-3563,1,4
330-555-3564,4,7
330-555-3565,5,10
330-555-3566,11,10
330-555-3567,15,1
330-555-3568,15,10
330-555-3569,8,6
330-555-3570,20,7
330-555-3571,5,0
330-555-3572,19,0
330-555-3573,10,9
330-555-3574,20,7
330-555-3575,19,5
330-555-3576,20,8
330-555-3577,7,10
330-555-3578,10,6
330-555-3579,17,2
330-555-3580,7,1
330-555-3581,14,3
330-555-3582,0,9
330-555-3583,18,7
330-555-3584,15,6
330-555-3585,16,10
330-555-3586,13,8
330-555-3587,4,10
330-555-3588,6,7
330-555-3589,6,5
330-555-3590,0,3
330-555-3591,10,9
330-555-3592,6,10
330-555-3593,17,4
330-555-3594,15,3
330-555-3595,2,6
330-555-3596,1,1
330-555-3597,19,0
330-555-3598,14,3
330-555-3599,7,1
330-555-3600,20,7
330-555-3601,17,4
330-555-3602,5,1
330-555-3603,0,6
330-555-3604,14,10
330-555-3605,11,8
330-555-3606,19,0
330-555-3607,20,2
330-555-3608,20,2
330-555-3609,4,9
330-555-3610,5,0
330-555-3611,13,7
330-555-3612,20,6
330-555-3613,5,2
330-555-3614,18,6
330-555-3615,11,10
330-555-3616,10,1
330-555-3617,8,1
330-555-3618,4,3
330-555-3619,18,8
330-555-3620,1,2
330-555-3621,5,0
330-555-3622,12,7
330-555-3623,2,3
330-555-3624,3,3
330-555-3625,14,9
330-555-3626,15,2
330-555-3627,19,2
330-555-3628,17,7
330-555-3629,18,6
330-555-3630,19,0
330-555-3631,12,0
330-555-3632,5,0
330-555-3633,20,9
330-555-3634,12,10
330-555-3635,10,3
330-555-3636,18,5
330-555-3637,3,6
330-555-3638,13,2
330-555-3639,9,3
330-555-3640,14,4
330-555-3641,15,3
330-555-3642,7,10
330-555-3643,8,4
330-555-3644,18,5
330-555-3645,16,2
330-555-3646,16,6
330-555-3647,4,3
330-555-3648,1,2
330-555-3649,2,10
330-555-3650,18,7
330-555-3651,6,0
330-555-3652,12,4
330-555-3653,19,3
330-555-3654,9,0
330-555-3655,1,1
330-555-3656,13,3
330-555-3657,17,7
330-555-3658,4,10
330-555-3659,2,3
330-555-3660,19,1
330-555-3661,5,4
330-555-3662,10,9
330-555-3663,8,0
330-555-3664,11,9
330-555-3665,1,5
330-555-3666,2,8
330-555-3667,6,10
330-555-3668,14,0
330-555-3669,12,5
330-555-3670,7,8
330-555-3671,12,0
330-555-3672,6,2
330-555-3673,15,2
330-555-3674,10,9
330-555-3675,5,6
330-555-3676,11,9
330-555-3677,1,1
330-555-3678,17,9
330-555-3679,20,4
330-555-3680,11,6
330-555-3681,19,2
330-555-3682,19,9
330-555-3683,3,4
330-555-3684,10,1
330-555-3685,18,7
330-555-3686,18,2
330-555-3687,11,10
330-555-3688,18,5
330-555-3689,5,4
330-555-3690,11,9
330-555-3691,16,8
330-555-3692,8,0
330-555-3693,5,1
330-555-3694,11,9
330-555-3695,5,3
330-555-3696,12,9
330-555-3697,6,9
330-555-3698,8,7
330-555-3699,14,4
330-555-3700,13,8
330-555-3701,12,9
330-555-3702,8,5
330-555-3703,0,9
330-555-3704,13,0
330-555-3705,8,3
330-555-3706,10,0
330-555-3707,11,7
330-555-3708,3,10
330-555-3709,0,1
330-555-3710,20,2
330-555-3711,17,7
330-555-3712,19,7
330-555-3713,16,5
330-555-3714,8,6
330-555-3715,0,9
330-555-3716,9,0
330-555-3717,10,0
330-555-3718,14,2
330-555-3719,7,1
330-555-3720,10,4
330-555-3721,3,7
330-555-3722,10,8
330-555-3723,11,4
330-555-3724,10,7
330-555-3725,15,1
330-555-3726,11,2
330-555-3727,12,3
330-555-3728,15,0
330-555-3729,13,6
330-555-3730,12,2
330-555-3731,7,7
330-555-3732,2,9
330-555-3733,2,9
330-555-3734,2,1
330-555-3735,4,9
330-555-3736,5,4
330-555-3737,19,2
330-555-3738,9,7
330-555-3739,2,6
330-555-3740,0,2
330-555-3741,16,5
330-555-3742,20,4
330-555-3743,20,8
330-555-3744,13,5
330-555-3745,2,8
330-555-3746,20,9
330-555-3747,13,5
330-555-3748,16,7
330-555-3749,19,9
330-555-3750,18,0
330-555-3751,5,6
330-555-3752,10,6
330-555-3753,18,10
330-555-3754,7,8
330-555-3755,6,0
330-555-3756,11,5
330-555-3757,7,9
330-555-3758,1,10
330-555-3759,16,2
330-555-3760,13,4
330-555-3761,9,7
330-555-3762,11,6
330-555-3763,17,4
330-555-3764,3,8
330-555-3765,16,2
330-555-3766,16,3
330-555-3767,3,3
330-555-3768,19,10
330-555-3769,2,7
330-555-3770,4,10
330-555-3771,11,9
330-555-3772,6,4
330-555-3773,11,4
330-555-3774,8,4
330-555-3775,12,5
330-555-3776,9,6
330-555-3777,7,7
330-555-3778,14,1
330-555-3779,14,3
330-555-3780,15,8
330-555-3781,4,8
330-555-3782,1,2
330-555-3783,13,5
330-555-3784,15,5
330-555-3785,3,0
330-555-3786,2,8
